timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;25
0;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;6
200;;SUBMISSION;VEV_5000;SEASHELLS;266;8
200;;SUBMISSION;VEV_5000;SEASHELLS;265;10
300;;SUBMISSION;VEV_5000;SEASHELLS;266;9
300;;SUBMISSION;VEV_5000;SEASHELLS;265;12
400;;SUBMISSION;VEV_5000;SEASHELLS;265;8
400;;SUBMISSION;VEV_5000;SEASHELLS;264;14
400;;SUBMISSION;VEV_5100;SEASHELLS;175;5
500;;SUBMISSION;VEV_5000;SEASHELLS;263;7
500;;SUBMISSION;VEV_5000;SEASHELLS;262;12
600;;SUBMISSION;VEV_4000;SEASHELLS;1261;2
700;;SUBMISSION;VEV_5000;SEASHELLS;262;3
1000;;SUBMISSION;VEV_5000;SEASHELLS;263;2
1200;;SUBMISSION;VEV_5000;SEASHELLS;262;13
1300;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1252;2
1400;;SUBMISSION;VEV_5100;SEASHELLS;174;2
1700;;SUBMISSION;VEV_5100;SEASHELLS;176;6
1700;;SUBMISSION;VEV_5100;SEASHELLS;175;2
1900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;25
1900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5263;8
2500;;SUBMISSION;VEV_5000;SEASHELLS;272;2
2800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
2900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;2
3000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
3100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
3200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;6
3300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
3400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;7
3500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
3600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;6
3700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
3800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;4
4000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;2
4100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;4
4200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;6
4300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;3
4500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
4600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
4800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;1
