timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9966;13
0;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9968;11
100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9969;15
100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9971;21
5200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5251;18
6100;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;3
9400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5244;14
9400;SUBMISSION;Mark 49;VELVETFRUIT_EXTRACT;SEASHELLS;5244;8
10300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;13
10400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5240;12
10400;SUBMISSION;Mark 49;VELVETFRUIT_EXTRACT;SEASHELLS;5240;12
12800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;4
12900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;1
13100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;3
13200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;1
13300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;4
13400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;5
13500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;4
13600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5239;9
29300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5238;4
42300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9967;5
45200;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9962;2
49800;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5245;3
59600;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5245;4
60300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;5
108900;;SUBMISSION;VEV_5000;SEASHELLS;268;3
109100;;SUBMISSION;VEV_5000;SEASHELLS;268;1
109600;;SUBMISSION;VEV_5000;SEASHELLS;271;1
109900;;SUBMISSION;VEV_5000;SEASHELLS;271;2
185400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;2
185500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;3
185600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;8
185700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;8
185800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10024;10
185800;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10039;4
185900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10024;12
185900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;5
186000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10023;8
186100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;7
186200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;2
186400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;2
186500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;6
186600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;5
186700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;7
186800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;5
186900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10020;5
187000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;8
187100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;6
187200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;8
187300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10022;8
187500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;3
193400;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10025;4
210600;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9991;5
211100;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9997;6
213800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;1
214200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;1
214300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;3
214400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;5
214500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;9
214600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9989;14
214700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;8
214800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9991;10
214900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9990;12
215000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;8
215100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;5
215200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;5
215300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;5
215400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;8
215500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;5
215600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;3
215700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;3
215800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;3
217500;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;4
218500;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10016;5
218900;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10013;3
221200;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;5
223500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;2
223600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;11
223700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;14
223700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;2
230000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;1
230200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;1
230800;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10006;3
235000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10006;3
235100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10005;1
235900;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9999;3
236400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10005;2
236600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;9
236700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;11
236700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;3
236800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10007;6
236900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10006;4
237000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10009;11
237100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10011;11
237100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;6
237200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10011;12
237200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10009;5
237300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10011;10
237300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;7
237400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10009;11
237500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;10
237500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10008;4
239300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10005;2
241700;;SUBMISSION;VEV_5000;SEASHELLS;262;2
244500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10004;1
249100;;SUBMISSION;VEV_5000;SEASHELLS;266;6
249900;;SUBMISSION;VEV_5000;SEASHELLS;268;5
250100;;SUBMISSION;VEV_5000;SEASHELLS;267;4
252500;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9989;3
253100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;1
253900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;1
254200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;2
254300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10001;2
254400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;10
254500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10000;4
254600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9999;7
254700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;3
254800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;11
254800;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9999;3
254900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9997;14
255000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9996;13
255000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;4
255000;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9981;4
255100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9995;11
255100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;15
260100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9989;10
260100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9992;11
261900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;1
262300;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10004;4
262800;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10007;2
266300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9999;1
266700;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9999;1
267000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9999;1
267100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9998;3
291300;;SUBMISSION;VEV_5000;SEASHELLS;275;1
300400;;SUBMISSION;VEV_5000;SEASHELLS;269;1
348500;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9965;5
499900;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9991;6
503500;SUBMISSION;Mark 38;HYDROGEL_PACK;SEASHELLS;9995;6
853700;;SUBMISSION;VEV_5000;SEASHELLS;272;5
854000;;SUBMISSION;VEV_5000;SEASHELLS;274;4
854400;;SUBMISSION;VEV_5000;SEASHELLS;275;3
854500;;SUBMISSION;VEV_5000;SEASHELLS;274;2
920200;;SUBMISSION;VEV_5000;SEASHELLS;272;4
