timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5293;35
1700;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1288;2
3300;;SUBMISSION;VEV_5000;SEASHELLS;292;3
3800;;SUBMISSION;VEV_5000;SEASHELLS;292;2
4400;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10027;6
5300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10016;2
5400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10017;3
8700;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1309;2
9300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5295;22
19200;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;4
19500;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10018;2
20900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;1
21000;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;1
21100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10011;3
21200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10011;3
21300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;1
21400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10010;1
21500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10013;6
21600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10014;7
21700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10014;7
22000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5277;5
22100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5275;4
22200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;3
22800;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1282;3
24100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;10
26500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10014;5
27400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10011;1
28000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5269;1
28000;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;5
43600;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1241;1
55100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5248;4
58300;Mark 67;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5256;6
60600;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1240;2
61400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5247;8
62400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5247;5
66300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;3
66500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;3
66900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5257;1
67600;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;7
70200;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1266;1
76100;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1248;1
86100;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5245;6
87400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;6
88200;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1256;3
88300;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;6
92100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;1
92200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;1
92300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5255;3
93400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5255;4
93700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5254;1
93700;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5258;4
101400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10021;1
103700;Mark 67;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5250;8
106800;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1240;2
108800;SUBMISSION;Mark 38;VEV_4000;SEASHELLS;1245;1
111400;SUBMISSION;Mark 55;VELVETFRUIT_EXTRACT;SEASHELLS;5246;4
111600;SUBMISSION;Mark 22;VELVETFRUIT_EXTRACT;SEASHELLS;5246;6
112100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5246;1
112200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5245;5
112300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5245;5
112400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5244;8
112500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5243;12
112600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5243;14
112700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;15
112800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5242;12
112900;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;19
113000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;19
113800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5240;18
113800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5241;3
114300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5244;7
117800;Mark 38;SUBMISSION;VEV_4000;SEASHELLS;1246;1
121300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5245;3
121500;Mark 38;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10029;4
