timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-122.5,0.0,-122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-229.0,0.0,-229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-331.5,0.0,-331.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-291.0,0.0,-291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-264.5,0.0,-166.0,0.0,0.0,-97.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0
600,-542.0,0.0,-316.0,0.0,0.0,-206.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0
700,-812.5,0.0,-391.0,0.0,0.0,-359.0,0.0,-62.5,0.0,0.0,0.0,0.0,0.0
800,-1272.0,0.0,-616.0,0.0,0.0,-531.0,0.0,-125.0,0.0,0.0,0.0,0.0,0.0
900,-1261.0,0.0,-616.0,0.0,0.0,-533.0,0.0,-112.0,0.0,0.0,0.0,0.0,0.0
1000,-1459.0,0.0,-541.0,0.0,0.0,-750.0,0.0,-168.0,0.0,0.0,0.0,0.0,0.0
1100,-1877.0,0.0,-616.0,0.0,0.0,-1057.0,0.0,-204.0,0.0,0.0,0.0,0.0,0.0
1200,-2186.0,0.0,-766.0,0.0,0.0,-1159.5,0.0,-260.5,0.0,0.0,0.0,0.0,0.0
1300,-2327.5,0.0,-766.0,0.0,0.0,-1298.0,0.0,-263.5,0.0,0.0,0.0,0.0,0.0
1400,-2238.0,0.0,-691.0,0.0,0.0,-1298.0,0.0,-249.0,0.0,0.0,0.0,0.0,0.0
1500,-1967.0,0.0,-616.0,0.0,0.0,-1068.0,0.0,-283.0,0.0,0.0,0.0,0.0,0.0
1600,-1909.5,0.0,-616.0,0.0,0.0,-1068.0,0.0,-225.5,0.0,0.0,0.0,0.0,0.0
1700,-2404.5,0.0,-766.0,0.0,0.0,-1298.0,0.0,-340.5,0.0,0.0,0.0,0.0,0.0
1800,-2767.0,0.0,-841.0,0.0,0.0,-1528.0,0.0,-398.0,0.0,0.0,0.0,0.0,0.0
1900,-2409.5,0.0,-541.0,0.0,0.0,-1528.0,0.0,-340.5,0.0,0.0,0.0,0.0,0.0
2000,-1759.5,0.0,-466.0,0.0,0.0,-1068.0,0.0,-225.5,0.0,0.0,0.0,0.0,0.0
2100,-1834.5,0.0,-541.0,0.0,0.0,-1068.0,0.0,-225.5,0.0,0.0,0.0,0.0,0.0
2200,-2404.5,0.0,-766.0,0.0,0.0,-1298.0,0.0,-340.5,0.0,0.0,0.0,0.0,0.0
2300,-1472.0,0.0,-466.0,0.0,0.0,-838.0,0.0,-168.0,0.0,0.0,0.0,0.0,0.0
2400,-1834.5,0.0,-541.0,0.0,0.0,-1068.0,0.0,-225.5,0.0,0.0,0.0,0.0,0.0
2500,-902.0,0.0,-241.0,0.0,0.0,-608.0,0.0,-53.0,0.0,0.0,0.0,0.0,0.0
2600,-677.0,0.0,-16.0,0.0,0.0,-608.0,0.0,-53.0,0.0,0.0,0.0,0.0,0.0
2700,-539.5,0.0,-166.0,0.0,0.0,-378.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
2800,-102.0,0.0,-16.0,0.0,0.0,-148.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
2900,-44.5,0.0,-16.0,0.0,0.0,-148.0,0.0,119.5,0.0,0.0,0.0,0.0,0.0
3000,220.5,0.0,134.0,0.0,0.0,-33.0,0.0,119.5,0.0,0.0,0.0,0.0,0.0
3100,-44.5,0.0,-16.0,0.0,0.0,-148.0,0.0,119.5,0.0,0.0,0.0,0.0,0.0
3200,-323.0,0.0,-80.0,0.0,0.0,-291.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
3300,-676.5,0.0,-254.0,0.0,0.0,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
3400,328.5,0.0,94.0,0.0,0.0,64.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0
3500,800.5,0.0,268.0,0.0,0.0,301.5,0.0,231.0,0.0,0.0,0.0,0.0,0.0
3600,476.5,0.0,181.0,0.0,0.0,64.5,0.0,231.0,0.0,0.0,0.0,0.0,0.0
3700,328.5,0.0,94.0,0.0,0.0,64.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0
3800,-589.5,0.0,-167.0,0.0,0.0,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
3900,-676.5,0.0,-254.0,0.0,0.0,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
4000,-676.5,0.0,-254.0,0.0,0.0,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
4100,-1478.0,0.0,-341.0,0.0,0.0,-1002.0,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
4200,-1069.0,0.0,-341.0,-5.0,-2.5,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
4300,-1704.0,0.0,-602.0,-10.0,-12.5,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
4400,-679.0,0.0,-254.0,0.0,-2.5,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
4500,-1173.0,54.0,-428.0,-10.0,-7.5,-646.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
4600,-1118.5,45.0,-428.0,-7.5,-7.5,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
4700,-2153.5,78.0,-602.0,-40.0,-32.5,-1239.0,0.0,-318.0,0.0,0.0,0.0,0.0,0.0
4800,-1283.5,60.0,-428.0,-10.0,-5.5,-765.0,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
4900,-1507.0,42.0,-515.0,-10.0,-5.5,-883.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
5000,-1111.5,48.0,-428.0,-5.5,-5.5,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
5100,-1178.5,42.0,-428.0,-5.5,-5.5,-646.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
5200,-974.0,24.0,-341.0,-1.0,3.5,-646.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
5300,-651.5,18.0,-254.0,3.5,3.5,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
5400,-308.5,-6.0,-80.0,8.0,12.5,-291.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
5500,-1156.5,3.0,-428.0,-5.5,-5.5,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
5600,-1685.5,25.0,-602.0,-14.5,-14.5,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
5700,-1707.5,3.0,-602.0,-14.5,-14.5,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
5800,-2270.5,3.0,-602.0,-64.0,-50.5,-1239.0,0.0,-318.0,0.0,0.0,0.0,0.0,0.0
5900,-1133.5,14.0,-428.0,4.0,-3.0,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
6000,-1179.5,36.0,-428.0,-3.0,-3.0,-646.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
6100,-1495.5,58.0,-515.0,-10.0,-10.0,-883.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
6200,-2157.5,58.0,-776.0,-31.0,-31.0,-1120.5,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
6300,-1287.5,80.0,-254.0,-17.0,-17.0,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
6400,-715.0,69.0,-258.0,4.0,11.0,-528.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
6500,-1688.5,47.0,-622.0,-17.0,-17.0,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
6600,-1803.5,69.0,-440.0,-24.0,-31.0,-1120.5,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
6700,-1595.0,80.0,-629.5,-10.0,-17.0,-883.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
6800,-2169.0,80.0,-816.5,-24.0,-31.0,-1120.5,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
6900,-1637.0,113.0,-629.5,-24.0,-17.0,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
7000,-1612.0,124.0,-629.5,-10.0,-17.0,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
7100,-1652.0,91.0,-629.5,-17.0,-17.0,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
7200,-1663.0,80.0,-629.5,-17.0,-17.0,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
7300,-1512.5,69.0,-536.0,-10.0,-17.0,-883.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
7400,-2224.0,25.0,-816.5,-24.0,-31.0,-1120.5,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
7500,-1308.5,47.0,-442.5,-10.0,-3.0,-765.0,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
7600,-2284.5,69.0,-629.5,-94.0,-73.0,-1239.0,0.0,-318.0,0.0,0.0,0.0,0.0,0.0
7700,-1857.0,80.0,-629.5,-29.0,-19.5,-1002.0,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
7800,-2795.5,69.0,-1003.5,-67.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
7900,-2765.5,80.0,-1003.5,-48.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
8000,-3174.5,91.0,-1097.0,-67.0,-67.0,-1594.5,0.0,-440.0,0.0,0.0,0.0,0.0,0.0
8100,-3379.5,69.0,-1190.5,-86.0,-76.5,-1594.5,0.0,-501.0,0.0,0.0,0.0,0.0,0.0
8200,-3198.0,58.0,-1097.0,-67.0,-57.5,-1594.5,0.0,-440.0,0.0,0.0,0.0,0.0,0.0
8300,-3721.0,58.0,-1284.0,-86.0,-76.5,-1831.5,0.0,-501.0,0.0,0.0,0.0,0.0,0.0
8400,-2622.0,69.0,-910.0,-48.0,-57.5,-1357.5,0.0,-318.0,0.0,0.0,0.0,0.0,0.0
8500,-2773.5,91.0,-1003.5,-67.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
8600,-2764.0,91.0,-1003.5,-57.5,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
8700,-2773.5,91.0,-1003.5,-67.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
8800,-3121.0,135.0,-1097.0,-67.0,-57.5,-1594.5,0.0,-440.0,0.0,0.0,0.0,0.0,0.0
8900,-3293.0,146.0,-1190.5,-76.5,-76.5,-1594.5,0.0,-501.0,0.0,0.0,0.0,0.0,0.0
9000,-2729.5,135.0,-1003.5,-67.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
9100,-3674.0,124.0,-1284.0,-86.0,-95.5,-1831.5,0.0,-501.0,0.0,0.0,0.0,0.0,0.0
9200,-3233.5,135.0,-1190.5,-67.0,-76.5,-1594.5,0.0,-440.0,0.0,0.0,0.0,0.0,0.0
9300,-2173.5,168.0,-816.5,-48.0,-38.5,-1120.5,0.0,-318.0,0.0,0.0,0.0,0.0,0.0
9400,-2562.0,190.0,-910.0,-48.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
9500,-2131.0,201.0,-816.5,-38.5,-38.5,-1120.5,0.0,-318.0,0.0,0.0,0.0,0.0,0.0
9600,-2048.0,223.0,-816.5,-38.5,-38.5,-1120.5,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
9700,-2611.5,234.0,-1003.5,-48.0,-57.5,-1357.5,0.0,-379.0,0.0,0.0,0.0,0.0,0.0
9800,-2015.0,256.0,-816.5,-38.5,-38.5,-1120.5,0.0,-257.0,0.0,0.0,0.0,0.0,0.0
9900,-1449.5,289.0,-629.5,-10.0,-19.5,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
10000,-1448.0,300.0,-629.5,-19.5,-19.5,-883.5,0.0,-196.0,0.0,0.0,0.0,0.0,0.0
10100,-1306.0,278.0,-536.0,-10.0,-19.5,-883.5,0.0,-135.0,0.0,0.0,0.0,0.0,0.0
10200,-177.5,311.0,25.0,9.0,18.5,-528.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
10300,-502.0,267.0,-255.5,9.0,18.5,-528.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
10400,421.0,245.0,-162.0,47.0,56.5,64.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0
10500,23.0,267.0,-255.5,37.5,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
10600,116.0,234.0,-68.5,37.5,37.5,-172.5,0.0,48.0,0.0,0.0,0.0,0.0,0.0
10700,729.5,256.0,126.0,56.5,56.5,64.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0
10800,246.0,289.0,-64.0,47.0,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
10900,269.5,322.0,-64.0,37.5,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
11000,783.0,300.0,126.0,66.0,56.5,64.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0
11100,225.5,278.0,-64.0,37.5,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
11200,14.5,256.0,-64.0,28.0,37.5,-291.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
11300,192.5,245.0,-64.0,37.5,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
11400,-669.0,278.0,-254.0,9.0,18.5,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
11500,203.5,256.0,-64.0,37.5,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
11600,-47.5,256.0,-254.0,37.5,37.5,-172.5,0.0,48.0,0.0,0.0,0.0,0.0,0.0
11700,317.5,256.0,31.0,47.0,47.0,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
11800,131.5,245.0,-64.0,37.5,37.5,-172.5,0.0,48.0,0.0,0.0,0.0,0.0,0.0
11900,286.0,234.0,31.0,47.0,37.5,-172.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
12000,-830.0,212.0,-349.0,9.0,18.5,-646.5,0.0,-74.0,0.0,0.0,0.0,0.0,0.0
12100,-389.0,146.0,-159.0,28.0,18.5,-409.5,0.0,-13.0,0.0,0.0,0.0,0.0,0.0
12200,591.5,179.0,126.0,56.5,56.5,64.5,0.0,109.0,0.0,0.0,0.0,0.0,0.0
12300,604.5,146.0,31.0,66.0,66.0,64.5,0.0,231.0,0.0,0.0,0.0,0.0,0.0
12400,899.0,146.0,316.0,66.0,75.5,64.5,0.0,231.0,0.0,0.0,0.0,0.0,0.0
12500,1742.0,146.0,506.0,104.0,94.5,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
12600,2444.5,157.0,791.0,123.0,123.0,775.5,0.0,475.0,0.0,0.0,0.0,0.0,0.0
12700,2162.0,168.0,696.0,113.5,113.5,657.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
12800,2828.5,190.0,886.0,132.5,132.5,1012.5,0.0,475.0,0.0,0.0,0.0,0.0,0.0
12900,2050.5,179.0,791.0,94.5,94.5,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
13000,2119.5,135.0,696.0,104.0,113.5,657.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
13100,2096.0,102.0,696.0,113.5,113.5,657.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0
13200,2154.0,41.5,696.0,113.5,113.5,775.5,0.0,414.0,0.0,0.0,0.0,0.0,0.0
13300,2003.5,80.0,696.0,104.0,113.5,657.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0
13400,2192.5,80.0,696.0,113.5,113.5,775.5,0.0,414.0,0.0,0.0,0.0,0.0,0.0
13500,1643.0,47.0,506.0,104.0,94.5,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
13600,1464.0,58.0,316.0,104.0,94.5,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
13700,2334.5,47.0,791.0,123.0,123.0,775.5,0.0,475.0,0.0,0.0,0.0,0.0,0.0
13800,2345.5,58.0,791.0,123.0,123.0,775.5,0.0,475.0,0.0,0.0,0.0,0.0,0.0
13900,2170.5,58.0,696.0,113.5,113.5,775.5,0.0,414.0,0.0,0.0,0.0,0.0,0.0
14000,2181.5,69.0,696.0,113.5,113.5,775.5,0.0,414.0,0.0,0.0,0.0,0.0,0.0
14100,1644.5,58.0,506.0,94.5,94.5,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
14200,1742.0,41.5,601.0,104.0,104.0,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
14300,1391.5,47.0,510.5,85.0,94.5,301.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
14400,541.0,69.0,124.5,56.5,56.5,64.5,0.0,170.0,0.0,0.0,0.0,0.0,0.0
14500,1693.0,102.0,510.5,94.5,94.5,538.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
14600,2270.5,80.0,703.5,123.0,113.5,775.5,0.0,475.0,0.0,0.0,0.0,0.0,0.0
14700,1413.5,69.0,510.5,85.0,94.5,301.5,0.0,353.0,0.0,0.0,0.0,0.0,0.0
14800,758.5,47.0,28.0,75.5,75.5,301.5,0.0,231.0,0.0,0.0,0.0,0.0,0.0
14900,1048.0,47.0,317.5,75.5,75.5,301.5,0.0,231.0,0.0,0.0,0.0,0.0,0.0
15000,1942.5,69.0,703.5,104.0,113.5,538.5,0.0,414.0,0.0,0.0,0.0,0.0,0.0
15100,2228.0,47.0,703.5,113.5,113.5,775.5,0.0,475.0,0.0,0.0,0.0,0.0,0.0
15200,2566.5,36.0,896.5,132.5,132.5,894.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0
15300,3156.5,36.0,1089.5,151.5,151.5,1131.0,0.0,597.0,0.0,0.0,0.0,0.0,0.0
15400,4175.0,47.0,1572.0,180.0,170.5,1486.5,0.0,719.0,0.0,0.0,0.0,0.0,0.0
15500,4024.5,80.0,1379.0,180.0,180.0,1486.5,0.0,719.0,0.0,0.0,0.0,0.0,0.0
