timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-24.0;0.0;-14.0;0.0;0.0;0.0;0.0;0.0;-10.0;0.0;0.0;0.0;0.0
200;-52.0;0.0;-32.0;0.0;0.0;0.0;0.0;0.0;-20.0;0.0;0.0;0.0;0.0
300;-40.0;0.0;-40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;-65.0;0.0;-55.0;0.0;0.0;0.0;0.0;0.0;-10.0;0.0;0.0;0.0;0.0
500;-85.0;0.0;-65.0;0.0;0.0;0.0;0.0;0.0;-20.0;0.0;0.0;0.0;0.0
600;-50.0;0.0;-20.0;0.0;0.0;0.0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0
700;-144.5;0.0;-39.5;0.0;0.0;0.0;0.0;0.0;-105.0;0.0;0.0;0.0;0.0
800;-164.5;0.0;-49.5;0.0;0.0;0.0;0.0;0.0;-115.0;0.0;0.0;0.0;0.0
900;-184.5;0.0;-59.5;0.0;0.0;0.0;0.0;0.0;-125.0;0.0;0.0;0.0;0.0
1000;-165.0;0.0;-125.0;0.0;0.0;0.0;0.0;0.0;-40.0;0.0;0.0;0.0;0.0
1100;-188.5;0.0;-143.5;0.0;0.0;0.0;0.0;0.0;-45.0;0.0;0.0;0.0;0.0
1200;-175.5;0.0;-180.5;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0
1300;-162.5;0.0;-217.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
1400;-218.0;0.0;-273.0;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
1500;-199.5;0.0;-254.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
1600;-199.5;0.0;-254.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
1700;-186.5;0.0;-291.5;0.0;0.0;0.0;0.0;0.0;105.0;0.0;0.0;0.0;0.0
1800;-199.5;0.0;-254.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
1900;-199.5;0.0;-254.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
2000;-236.5;0.0;-291.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
2100;-181.0;0.0;-236.0;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
2200;-225.5;0.0;-180.5;0.0;0.0;0.0;0.0;0.0;-45.0;0.0;0.0;0.0;0.0
2300;-162.5;0.0;-217.5;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
