timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-122.5,0.0,-122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-229.0,0.0,-229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-331.5,0.0,-331.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-291.0,0.0,-291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-264.5,0.0,-166.0,0.0,0.0,-97.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0
600,-556.0,0.0,-316.0,0.0,0.0,-206.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0
700,-829.5,0.0,-391.0,0.0,0.0,-359.0,-79.5,0.0,0.0,0.0,0.0,0.0,0.0
800,-1344.0,0.0,-616.0,0.0,0.0,-531.0,-197.0,0.0,0.0,0.0,0.0,0.0,0.0
900,-1317.5,0.0,-616.0,0.0,0.0,-533.0,-168.5,0.0,0.0,0.0,0.0,0.0,0.0
1000,-1492.0,0.0,-541.0,0.0,0.0,-750.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,-1944.5,0.0,-616.0,0.0,0.0,-1057.0,-271.5,0.0,0.0,0.0,0.0,0.0,0.0
1200,-2258.5,0.0,-766.0,0.0,0.0,-1159.5,-333.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,-2440.5,0.0,-766.0,0.0,0.0,-1298.0,-376.5,0.0,0.0,0.0,0.0,0.0,0.0
1400,-2352.0,0.0,-691.0,0.0,0.0,-1298.0,-351.0,-12.0,0.0,0.0,0.0,0.0,0.0
1500,-2132.5,0.0,-616.0,0.0,0.0,-1068.0,-428.5,-20.0,0.0,0.0,0.0,0.0,0.0
1600,-2202.0,0.0,-616.0,0.0,0.0,-1068.0,-491.0,-27.0,0.0,0.0,0.0,0.0,0.0
1700,-2881.5,0.0,-766.0,0.0,0.0,-1298.0,-732.0,-85.5,0.0,0.0,0.0,0.0,0.0
1800,-3262.0,0.0,-841.0,0.0,0.0,-1528.0,-732.0,-161.0,0.0,0.0,0.0,0.0,0.0
1900,-2970.5,0.0,-541.0,0.0,0.0,-1528.0,-732.0,-169.5,0.0,0.0,0.0,0.0,0.0
2000,-2009.5,0.0,-466.0,0.0,0.0,-1068.0,-380.0,-95.5,0.0,0.0,0.0,0.0,0.0
2100,-2090.5,0.0,-541.0,0.0,0.0,-1068.0,-380.0,-101.5,0.0,0.0,0.0,0.0,0.0
2200,-3014.5,0.0,-766.0,0.0,0.0,-1298.0,-732.0,-218.5,0.0,0.0,0.0,0.0,0.0
2300,-1727.0,0.0,-466.0,0.0,0.0,-838.0,-380.0,-43.0,0.0,0.0,0.0,0.0,0.0
2400,-2178.5,0.0,-541.0,0.0,0.0,-1068.0,-468.0,-101.5,0.0,0.0,0.0,0.0,0.0
2500,-979.0,0.0,-241.0,0.0,0.0,-608.0,-204.0,74.0,0.0,0.0,0.0,0.0,0.0
2600,-754.0,0.0,-16.0,0.0,0.0,-608.0,-204.0,74.0,0.0,0.0,0.0,0.0,0.0
2700,-439.5,0.0,-166.0,0.0,0.0,-378.0,-28.0,132.5,0.0,0.0,0.0,0.0,0.0
2800,175.0,0.0,-16.0,0.0,0.0,-148.0,148.0,191.0,0.0,0.0,0.0,0.0,0.0
2900,233.5,0.0,-16.0,0.0,0.0,-148.0,148.0,249.5,0.0,0.0,0.0,0.0,0.0
3000,498.5,0.0,134.0,0.0,0.0,-33.0,148.0,249.5,0.0,0.0,0.0,0.0,0.0
3100,233.5,0.0,-16.0,0.0,0.0,-148.0,148.0,249.5,0.0,0.0,0.0,0.0,0.0
3200,-42.0,0.0,-80.0,0.0,0.0,-291.0,148.0,181.0,0.0,0.0,0.0,0.0,0.0
3300,-571.5,0.0,-254.0,0.0,0.0,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
3400,785.5,0.0,94.0,0.0,0.0,64.5,324.0,303.0,0.0,0.0,0.0,0.0,0.0
3500,1433.5,0.0,268.0,0.0,0.0,301.5,500.0,364.0,0.0,0.0,0.0,0.0,0.0
3600,933.5,0.0,181.0,0.0,0.0,64.5,324.0,364.0,0.0,0.0,0.0,0.0,0.0
3700,785.5,0.0,94.0,0.0,0.0,64.5,324.0,303.0,0.0,0.0,0.0,0.0,0.0
3800,-484.5,0.0,-167.0,0.0,0.0,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
3900,-571.5,0.0,-254.0,0.0,0.0,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
4000,-571.5,0.0,-254.0,0.0,0.0,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
4100,-1725.0,0.0,-341.0,0.0,0.0,-1002.0,-380.0,-2.0,0.0,0.0,0.0,0.0,0.0
4200,-1140.0,0.0,-341.0,-5.0,-2.5,-646.5,-204.0,59.0,0.0,0.0,0.0,0.0,0.0
4300,-1951.0,0.0,-602.0,-10.0,-12.5,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
4400,-574.0,0.0,-254.0,0.0,-2.5,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
4500,-1244.0,54.0,-428.0,-10.0,-7.5,-646.5,-204.0,-2.0,0.0,0.0,0.0,0.0,0.0
4600,-1189.5,45.0,-428.0,-7.5,-7.5,-646.5,-204.0,59.0,0.0,0.0,0.0,0.0,0.0
4700,-2576.5,78.0,-602.0,-40.0,-32.5,-1239.0,-556.0,-185.0,0.0,0.0,0.0,0.0,0.0
4800,-1354.5,60.0,-428.0,-10.0,-5.5,-765.0,-204.0,-2.0,0.0,0.0,0.0,0.0,0.0
4900,-1578.0,42.0,-515.0,-10.0,-5.5,-883.5,-204.0,-2.0,0.0,0.0,0.0,0.0,0.0
5000,-1182.5,48.0,-428.0,-5.5,-5.5,-646.5,-204.0,59.0,0.0,0.0,0.0,0.0,0.0
5100,-1249.5,42.0,-428.0,-5.5,-5.5,-646.5,-204.0,-2.0,0.0,0.0,0.0,0.0,0.0
5200,-1045.0,24.0,-341.0,-1.0,3.5,-646.5,-204.0,120.0,0.0,0.0,0.0,0.0,0.0
5300,-546.5,18.0,-254.0,3.5,3.5,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
5400,-27.5,-6.0,-80.0,8.0,12.5,-291.0,148.0,181.0,0.0,0.0,0.0,0.0,0.0
5500,-1227.5,3.0,-428.0,-5.5,-5.5,-646.5,-204.0,59.0,0.0,0.0,0.0,0.0,0.0
5600,-1932.5,25.0,-602.0,-14.5,-14.5,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
5700,-1954.5,3.0,-602.0,-14.5,-14.5,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
5800,-2693.5,3.0,-602.0,-64.0,-50.5,-1239.0,-556.0,-185.0,0.0,0.0,0.0,0.0,0.0
5900,-1204.5,14.0,-428.0,4.0,-3.0,-646.5,-204.0,59.0,0.0,0.0,0.0,0.0,0.0
6000,-1250.5,36.0,-428.0,-3.0,-3.0,-646.5,-204.0,-2.0,0.0,0.0,0.0,0.0,0.0
6100,-1742.5,58.0,-515.0,-10.0,-10.0,-883.5,-380.0,-2.0,0.0,0.0,0.0,0.0,0.0
6200,-2580.5,58.0,-776.0,-31.0,-31.0,-1120.5,-556.0,-124.0,0.0,0.0,0.0,0.0,0.0
6300,-1534.5,80.0,-254.0,-17.0,-17.0,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
6400,-610.0,69.0,-258.0,4.0,11.0,-528.0,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
6500,-1935.5,47.0,-622.0,-17.0,-17.0,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
6600,-2226.5,69.0,-440.0,-24.0,-31.0,-1120.5,-556.0,-124.0,0.0,0.0,0.0,0.0,0.0
6700,-1842.0,80.0,-629.5,-10.0,-17.0,-883.5,-380.0,-2.0,0.0,0.0,0.0,0.0,0.0
6800,-2592.0,80.0,-816.5,-24.0,-31.0,-1120.5,-556.0,-124.0,0.0,0.0,0.0,0.0,0.0
6900,-1884.0,113.0,-629.5,-24.0,-17.0,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
7000,-1859.0,124.0,-629.5,-10.0,-17.0,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
7100,-1899.0,91.0,-629.5,-17.0,-17.0,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
7200,-1910.0,80.0,-629.5,-17.0,-17.0,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
7300,-1759.5,69.0,-536.0,-10.0,-17.0,-883.5,-380.0,-2.0,0.0,0.0,0.0,0.0,0.0
7400,-2647.0,25.0,-816.5,-24.0,-31.0,-1120.5,-556.0,-124.0,0.0,0.0,0.0,0.0,0.0
7500,-1379.5,47.0,-442.5,-10.0,-3.0,-765.0,-204.0,-2.0,0.0,0.0,0.0,0.0,0.0
7600,-2707.5,69.0,-629.5,-94.0,-73.0,-1239.0,-556.0,-185.0,0.0,0.0,0.0,0.0,0.0
7700,-2104.0,80.0,-629.5,-29.0,-19.5,-1002.0,-380.0,-124.0,0.0,0.0,0.0,0.0,0.0
7800,-3394.5,69.0,-1003.5,-67.0,-57.5,-1357.5,-732.0,-246.0,0.0,0.0,0.0,0.0,0.0
7900,-3364.5,80.0,-1003.5,-48.0,-57.5,-1357.5,-732.0,-246.0,0.0,0.0,0.0,0.0,0.0
8000,-3773.5,91.0,-1097.0,-67.0,-67.0,-1594.5,-732.0,-307.0,0.0,0.0,0.0,0.0,0.0
8100,-4154.5,69.0,-1190.5,-86.0,-76.5,-1594.5,-908.0,-368.0,0.0,0.0,0.0,0.0,0.0
8200,-3797.0,58.0,-1097.0,-67.0,-57.5,-1594.5,-732.0,-307.0,0.0,0.0,0.0,0.0,0.0
8300,-4496.0,58.0,-1284.0,-86.0,-76.5,-1831.5,-908.0,-368.0,0.0,0.0,0.0,0.0,0.0
8400,-3045.0,69.0,-910.0,-48.0,-57.5,-1357.5,-556.0,-185.0,0.0,0.0,0.0,0.0,0.0
8500,-3372.5,91.0,-1003.5,-67.0,-57.5,-1357.5,-732.0,-246.0,0.0,0.0,0.0,0.0,0.0
8600,-3363.0,91.0,-1003.5,-57.5,-57.5,-1357.5,-732.0,-246.0,0.0,0.0,0.0,0.0,0.0
8700,-3372.5,91.0,-1003.5,-67.0,-57.5,-1357.5,-732.0,-246.0,0.0,0.0,0.0,0.0,0.0
8800,-3720.0,135.0,-1097.0,-67.0,-57.5,-1594.5,-732.0,-307.0,0.0,0.0,0.0,0.0,0.0
8900,-4068.0,146.0,-1190.5,-76.5,-76.5,-1594.5,-908.0,-368.0,0.0,0.0,0.0,0.0,0.0
9000,-3328.5,135.0,-1003.5,-67.0,-57.5,-1357.5,-732.0,-246.0,0.0,0.0,0.0,0.0,0.0
9100,-4449.0,124.0,-1284.0,-86.0,-95.5,-1831.5,-908.0,-368.0,0.0,0.0,0.0,0.0,0.0
9200,-3832.5,135.0,-1190.5,-67.0,-76.5,-1594.5,-732.0,-307.0,0.0,0.0,0.0,0.0,0.0
9300,-2596.5,168.0,-816.5,-48.0,-38.5,-1120.5,-556.0,-185.0,0.0,0.0,0.0,0.0,0.0
9400,-2985.0,190.0,-910.0,-48.0,-57.5,-1357.5,-556.0,-246.0,0.0,0.0,0.0,0.0,0.0
9500,-2554.0,201.0,-816.5,-38.5,-38.5,-1120.5,-556.0,-185.0,0.0,0.0,0.0,0.0,0.0
9600,-2471.0,223.0,-816.5,-38.5,-38.5,-1120.5,-556.0,-124.0,0.0,0.0,0.0,0.0,0.0
9700,-3122.5,234.0,-1003.5,-48.0,-57.5,-1357.5,-644.0,-246.0,0.0,0.0,0.0,0.0,0.0
9800,-2438.0,256.0,-816.5,-38.5,-38.5,-1120.5,-556.0,-124.0,0.0,0.0,0.0,0.0,0.0
9900,-1696.5,289.0,-629.5,-10.0,-19.5,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
10000,-1695.0,300.0,-629.5,-19.5,-19.5,-883.5,-380.0,-63.0,0.0,0.0,0.0,0.0,0.0
10100,-1553.0,278.0,-536.0,-10.0,-19.5,-883.5,-380.0,-2.0,0.0,0.0,0.0,0.0,0.0
10200,-72.5,311.0,25.0,9.0,18.5,-528.0,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
10300,-397.0,267.0,-255.5,9.0,18.5,-528.0,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
10400,878.0,245.0,-162.0,47.0,56.5,64.5,324.0,303.0,0.0,0.0,0.0,0.0,0.0
10500,304.0,267.0,-255.5,37.5,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
10600,397.0,234.0,-68.5,37.5,37.5,-172.5,148.0,181.0,0.0,0.0,0.0,0.0,0.0
10700,1186.5,256.0,126.0,56.5,56.5,64.5,324.0,303.0,0.0,0.0,0.0,0.0,0.0
10800,527.0,289.0,-64.0,47.0,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
10900,550.5,322.0,-64.0,37.5,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
11000,1240.0,300.0,126.0,66.0,56.5,64.5,324.0,303.0,0.0,0.0,0.0,0.0,0.0
11100,506.5,278.0,-64.0,37.5,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
11200,295.5,256.0,-64.0,28.0,37.5,-291.0,148.0,181.0,0.0,0.0,0.0,0.0,0.0
11300,473.5,245.0,-64.0,37.5,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
11400,-652.0,278.0,-254.0,9.0,18.5,-646.5,-116.0,59.0,0.0,0.0,0.0,0.0,0.0
11500,484.5,256.0,-64.0,37.5,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
11600,233.5,256.0,-254.0,37.5,37.5,-172.5,148.0,181.0,0.0,0.0,0.0,0.0,0.0
11700,598.5,256.0,31.0,47.0,47.0,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
11800,412.5,245.0,-64.0,37.5,37.5,-172.5,148.0,181.0,0.0,0.0,0.0,0.0,0.0
11900,567.0,234.0,31.0,47.0,37.5,-172.5,148.0,242.0,0.0,0.0,0.0,0.0,0.0
12000,-901.0,212.0,-349.0,9.0,18.5,-646.5,-204.0,59.0,0.0,0.0,0.0,0.0,0.0
12100,-284.0,146.0,-159.0,28.0,18.5,-409.5,-28.0,120.0,0.0,0.0,0.0,0.0,0.0
12200,1048.5,179.0,126.0,56.5,56.5,64.5,324.0,242.0,0.0,0.0,0.0,0.0,0.0
12300,1061.5,146.0,31.0,66.0,66.0,64.5,324.0,364.0,0.0,0.0,0.0,0.0,0.0
12400,1356.0,146.0,316.0,66.0,75.5,64.5,324.0,364.0,0.0,0.0,0.0,0.0,0.0
12500,2551.0,146.0,506.0,104.0,94.5,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
12600,3429.5,157.0,791.0,123.0,123.0,775.5,852.0,608.0,0.0,0.0,0.0,0.0,0.0
12700,2971.0,168.0,696.0,113.5,113.5,657.0,676.0,547.0,0.0,0.0,0.0,0.0,0.0
12800,3813.5,190.0,886.0,132.5,132.5,1012.5,852.0,608.0,0.0,0.0,0.0,0.0,0.0
12900,2859.5,179.0,791.0,94.5,94.5,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
13000,2928.5,135.0,696.0,104.0,113.5,657.0,676.0,547.0,0.0,0.0,0.0,0.0,0.0
13100,2905.0,102.0,696.0,113.5,113.5,657.0,676.0,547.0,0.0,0.0,0.0,0.0,0.0
13200,3051.0,41.5,696.0,113.5,113.5,775.5,764.0,547.0,0.0,0.0,0.0,0.0,0.0
13300,2812.5,80.0,696.0,104.0,113.5,657.0,676.0,486.0,0.0,0.0,0.0,0.0,0.0
13400,3089.5,80.0,696.0,113.5,113.5,775.5,764.0,547.0,0.0,0.0,0.0,0.0,0.0
13500,2452.0,47.0,506.0,104.0,94.5,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
13600,2273.0,58.0,316.0,104.0,94.5,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
13700,3319.5,47.0,791.0,123.0,123.0,775.5,852.0,608.0,0.0,0.0,0.0,0.0,0.0
13800,3330.5,58.0,791.0,123.0,123.0,775.5,852.0,608.0,0.0,0.0,0.0,0.0,0.0
13900,2979.5,58.0,696.0,113.5,113.5,775.5,676.0,547.0,0.0,0.0,0.0,0.0,0.0
14000,2990.5,69.0,696.0,113.5,113.5,775.5,676.0,547.0,0.0,0.0,0.0,0.0,0.0
14100,2453.5,58.0,506.0,94.5,94.5,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
14200,2551.0,41.5,601.0,104.0,104.0,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
14300,2024.5,47.0,510.5,85.0,94.5,301.5,500.0,486.0,0.0,0.0,0.0,0.0,0.0
14400,998.0,69.0,124.5,56.5,56.5,64.5,324.0,303.0,0.0,0.0,0.0,0.0,0.0
14500,2502.0,102.0,510.5,94.5,94.5,538.5,676.0,486.0,0.0,0.0,0.0,0.0,0.0
14600,3255.5,80.0,703.5,123.0,113.5,775.5,852.0,608.0,0.0,0.0,0.0,0.0,0.0
14700,2046.5,69.0,510.5,85.0,94.5,301.5,500.0,486.0,0.0,0.0,0.0,0.0,0.0
14800,1391.5,47.0,28.0,75.5,75.5,301.5,500.0,364.0,0.0,0.0,0.0,0.0,0.0
14900,1593.0,47.0,317.5,75.5,75.5,301.5,412.0,364.0,0.0,0.0,0.0,0.0,0.0
15000,2751.5,69.0,703.5,104.0,113.5,538.5,676.0,547.0,0.0,0.0,0.0,0.0,0.0
15100,3125.0,47.0,703.5,113.5,113.5,775.5,764.0,608.0,0.0,0.0,0.0,0.0,0.0
15200,3551.5,36.0,896.5,132.5,132.5,894.0,852.0,608.0,0.0,0.0,0.0,0.0,0.0
15300,4317.5,36.0,1089.5,151.5,151.5,1131.0,1028.0,730.0,0.0,0.0,0.0,0.0,0.0
15400,5512.0,47.0,1572.0,180.0,170.5,1486.5,1204.0,852.0,0.0,0.0,0.0,0.0,0.0
