timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-3.5,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-46.0,0.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-157.5,0.0,-157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-75.5,0.0,-75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-36.5,0.0,-36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,87.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,26.5,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,26.5,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,208.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,14.5,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,-114.5,0.0,-114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,-30.5,0.0,11.5,0.0,0.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,45.0,0.0,77.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,-257.0,0.0,-185.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,-444.0,0.0,-254.0,0.0,0.0,-190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,-527.0,0.0,-259.0,0.0,0.0,-268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,-901.0,0.0,-460.0,0.0,0.0,-425.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,-864.0,0.0,-400.5,0.0,0.0,-443.5,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,-1132.5,0.0,-537.5,0.0,0.0,-571.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,-1702.5,0.0,-811.5,0.0,0.0,-855.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,-2013.5,0.0,-948.5,0.0,0.0,-1021.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,-1753.5,0.0,-811.5,0.0,0.0,-906.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,-2019.0,0.0,-880.0,0.0,0.0,-1095.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,-2431.5,0.0,-1085.5,0.0,0.0,-1294.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,-3130.5,0.0,-1359.5,0.0,0.0,-1703.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,-3283.5,0.0,-1359.5,0.0,0.0,-1856.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,-3060.0,0.0,-1291.0,0.0,0.0,-1705.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,-2910.0,0.0,-1222.5,0.0,0.0,-1598.0,-89.5,0.0,0.0,0.0,0.0,0.0,0.0
2900,-2178.5,-9.0,-948.5,0.0,0.0,-1170.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,-2624.5,-28.0,-1081.5,0.0,0.0,-1384.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,-3520.5,-52.0,-1371.5,0.0,0.0,-1812.0,-285.0,0.0,0.0,0.0,0.0,0.0,0.0
3200,-3792.5,-103.0,-1444.0,0.0,0.0,-1919.0,-326.5,0.0,0.0,0.0,0.0,0.0,0.0
3300,-4245.0,-136.0,-1516.5,0.0,0.0,-2133.0,-459.5,0.0,0.0,0.0,0.0,0.0,0.0
3400,-4729.5,-216.0,-1661.5,0.0,0.0,-2240.0,-612.0,0.0,0.0,0.0,0.0,0.0,0.0
3500,-4233.5,-218.0,-1516.5,0.0,0.0,-2026.0,-473.0,0.0,0.0,0.0,0.0,0.0,0.0
3600,-4596.5,-290.0,-1589.0,0.0,0.0,-2133.0,-584.5,0.0,0.0,0.0,0.0,0.0,0.0
3700,-4467.0,-300.0,-1516.5,0.0,0.0,-2026.0,-617.0,-7.5,0.0,0.0,0.0,0.0,0.0
3800,-4596.5,-297.0,-1516.5,0.0,0.0,-2133.0,-617.0,-33.0,0.0,0.0,0.0,0.0,0.0
3900,-4538.5,-141.0,-1589.0,0.0,0.0,-2133.0,-617.0,-58.5,0.0,0.0,0.0,0.0,0.0
4000,-4068.5,-235.0,-1371.5,0.0,0.0,-1919.0,-459.0,-84.0,0.0,0.0,0.0,0.0,0.0
4100,-4731.0,-349.0,-1516.5,0.0,0.0,-2133.0,-617.0,-115.5,0.0,0.0,0.0,0.0,0.0
4200,-5311.0,-487.0,-1661.5,0.0,0.0,-2240.0,-696.0,-226.5,0.0,0.0,0.0,0.0,0.0
4300,-5220.0,-358.0,-1661.5,0.0,0.0,-2240.0,-696.0,-264.5,0.0,0.0,0.0,0.0,0.0
4400,-4138.0,-444.0,-1371.5,0.0,0.0,-1812.0,-459.0,-51.5,0.0,0.0,0.0,0.0,0.0
4500,-3987.0,-278.0,-1371.5,0.0,0.0,-1812.0,-459.0,-51.5,-15.0,0.0,0.0,0.0,0.0
4600,-3030.0,-286.0,-1081.5,0.0,0.0,-1491.0,-222.0,59.5,-9.0,0.0,0.0,0.0,0.0
4700,-3161.0,-328.0,-1154.0,0.0,0.0,-1491.0,-222.0,59.5,-25.5,0.0,0.0,0.0,0.0
4800,-3088.5,-310.0,-1081.5,0.0,0.0,-1491.0,-222.0,59.5,-43.5,0.0,0.0,0.0,0.0
4900,-4580.5,-531.0,-1373.0,0.0,0.0,-1919.0,-459.0,-162.5,-136.0,0.0,0.0,0.0,0.0
5000,-4702.5,-488.0,-1447.0,0.0,0.0,-1919.0,-538.0,-162.5,-148.0,0.0,0.0,0.0,0.0
5100,-4497.5,-283.0,-1447.0,0.0,0.0,-1919.0,-538.0,-162.5,-148.0,0.0,0.0,0.0,0.0
5200,-4105.5,109.0,-1447.0,0.0,0.0,-1919.0,-538.0,-162.5,-148.0,0.0,0.0,0.0,0.0
5300,-4285.5,189.0,-1521.0,0.0,0.0,-2026.0,-617.0,-162.5,-148.0,0.0,0.0,0.0,0.0
5400,-4107.0,109.0,-1447.0,0.0,0.0,-1919.0,-538.0,-162.5,-149.5,0.0,0.0,0.0,0.0
5500,-5901.0,29.0,-1817.0,0.0,0.0,-2561.0,-933.0,-384.5,-234.5,0.0,0.0,0.0,0.0
5600,-6057.5,-11.0,-1891.0,0.0,0.0,-2561.0,-933.0,-384.5,-277.0,0.0,0.0,0.0,0.0
5700,-5859.5,189.0,-1891.0,0.0,0.0,-2561.0,-933.0,-384.5,-279.0,0.0,0.0,0.0,0.0
5800,-5120.5,29.0,-1669.0,0.0,0.0,-2240.0,-775.0,-273.5,-192.0,0.0,0.0,0.0,0.0
5900,-5369.5,109.0,-1891.0,0.0,0.0,-2347.0,-775.0,-273.5,-192.0,0.0,0.0,0.0,0.0
6000,-5448.0,189.0,-1817.0,0.0,0.0,-2454.0,-857.0,-273.5,-235.5,0.0,0.0,0.0,0.0
6100,-5526.0,29.0,-1965.0,0.0,0.0,-2347.0,-777.5,-273.5,-192.0,0.0,0.0,0.0,0.0
