timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-55.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,-183.0,0.0,-183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,-90.5,0.0,-90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,-42.0,0.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,80.5,0.0,91.0,0.0,0.0,-10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,-35.0,0.0,18.0,-7.5,-7.5,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,-153.5,0.0,18.0,-7.5,-10.0,-134.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
900,-17.5,0.0,237.0,-7.5,-10.0,-213.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,-326.5,0.0,6.0,-7.5,-10.0,-291.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,-702.5,0.0,-148.0,-12.5,-15.0,-480.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,-404.0,0.0,6.0,-7.5,-5.0,-372.0,-25.5,0.0,0.0,0.0,0.0,0.0,0.0
1300,-340.0,0.0,83.0,-5.0,-5.0,-380.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,-1094.0,0.0,-225.0,21.0,-15.0,-804.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,-1479.0,0.0,-302.0,20.0,-20.0,-1095.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,-1577.0,0.0,-302.0,20.0,-20.0,-1193.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,-2172.5,0.0,-533.0,17.0,-25.0,-1419.0,-195.0,-17.5,0.0,0.0,0.0,0.0,0.0
1800,-2017.0,0.0,-456.0,18.0,-25.0,-1306.0,-215.5,-32.5,0.0,0.0,0.0,0.0,0.0
