timestamp,buyer,seller,symbol,currency,price,quantity
0,SUBMISSION,,HYDROGEL_PACK,XIREC,9966.0,13
0,SUBMISSION,,HYDROGEL_PACK,XIREC,9968.0,6
100,SUBMISSION,,HYDROGEL_PACK,XIREC,9969.0,15
100,SUBMISSION,,HYDROGEL_PACK,XIREC,9971.0,14
200,SUBMISSION,,HYDROGEL_PACK,XIREC,9969.0,14
200,SUBMISSION,,HYDROGEL_PACK,XIREC,9972.0,21
300,SUBMISSION,,HYDROGEL_PACK,XIREC,9968.0,15
300,SUBMISSION,,HYDROGEL_PACK,XIREC,9971.0,23
400,SUBMISSION,,HYDROGEL_PACK,XIREC,9969.0,10
400,SUBMISSION,,HYDROGEL_PACK,XIREC,9972.0,19
600,,SUBMISSION,VEV_5000,XIREC,250.0,12
600,,SUBMISSION,VEV_5100,XIREC,164.0,20
1000,SUBMISSION,,HYDROGEL_PACK,XIREC,9967.0,2
1600,SUBMISSION,,VEV_5100,XIREC,171.0,6
2000,SUBMISSION,,VEV_5000,XIREC,259.0,10
2000,SUBMISSION,,VEV_5100,XIREC,171.0,10
3600,SUBMISSION,,VEV_5100,XIREC,174.0,20
4500,SUBMISSION,,VEV_5000,XIREC,260.0,2
4500,SUBMISSION,,VEV_5100,XIREC,172.0,2
4500,Mark 01,Mark 22,VEV_5400,XIREC,18.0,2
4500,Mark 01,Mark 22,VEV_5500,XIREC,8.0,2
4500,Mark 01,Mark 22,VEV_6000,XIREC,0.0,2
4500,Mark 01,Mark 22,VEV_6500,XIREC,0.0,2
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIREC,9960.0,4
5200,,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5251.0,18
5200,,SUBMISSION,VEV_5000,XIREC,256.0,7
5300,Mark 38,Mark 14,VEV_4000,XIREC,1264.0,2
5500,SUBMISSION,,VEV_5100,XIREC,175.0,20
6100,Mark 55,SUBMISSION,VELVETFRUIT_EXTRACT,XIREC,5254.0,3
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIREC,9955.0,5
7500,,SUBMISSION,VEV_5000,XIREC,252.0,3
8200,,SUBMISSION,VEV_5000,XIREC,250.0,25
9400,SUBMISSION,,VELVETFRUIT_EXTRACT,XIREC,5244.0,14
9400,SUBMISSION,Mark 49,VELVETFRUIT_EXTRACT,XIREC,5244.0,8
9400,,SUBMISSION,VEV_5000,XIREC,249.0,10
9400,,SUBMISSION,VEV_5100,XIREC,163.0,20
