timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5265.0;10
100;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;20
200;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;28
300;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5264.0;23
300;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5263.0;6
400;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5262.0;27
500;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5261.0;19
500;;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5260.0;2
500;;SUBMISSION;VEV_5000;XIREC;263.0;4
600;;SUBMISSION;VEV_5000;XIREC;265.0;5
600;;SUBMISSION;VEV_5000;XIREC;262.0;9
600;;SUBMISSION;VEV_5000;XIREC;261.0;9
700;;SUBMISSION;VEV_5000;XIREC;262.0;22
800;;SUBMISSION;VEV_5000;XIREC;263.0;9
800;;SUBMISSION;VEV_5000;XIREC;262.0;13
900;Mark 67;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5261.0;8
900;;SUBMISSION;VEV_5000;XIREC;263.0;6
900;;SUBMISSION;VEV_5000;XIREC;262.0;15
1000;;SUBMISSION;VEV_5000;XIREC;263.0;12
1000;;SUBMISSION;VEV_5000;XIREC;262.0;12
1100;;SUBMISSION;VEV_5000;XIREC;264.0;8
1100;;SUBMISSION;VEV_5000;XIREC;263.0;15
1200;;SUBMISSION;VEV_5000;XIREC;262.0;24
1300;SUBMISSION;Mark 38;VEV_4000;XIREC;1256.0;3
1300;;SUBMISSION;VEV_5000;XIREC;262.0;6
1300;;SUBMISSION;VEV_5000;XIREC;261.0;15
1400;;SUBMISSION;VEV_5000;XIREC;264.0;12
1400;;SUBMISSION;VEV_5000;XIREC;263.0;14
1500;;SUBMISSION;VEV_5000;XIREC;265.0;9
1700;;SUBMISSION;VEV_5000;XIREC;266.0;2
2700;Mark 01;Mark 55;VELVETFRUIT_EXTRACT;XIREC;5269.0;8
2800;;SUBMISSION;HYDROGEL_PACK;XIREC;10017.0;1
2900;;SUBMISSION;HYDROGEL_PACK;XIREC;10018.0;2
2900;Mark 55;SUBMISSION;VELVETFRUIT_EXTRACT;XIREC;5271.0;8
3000;;SUBMISSION;HYDROGEL_PACK;XIREC;10019.0;3
3100;;SUBMISSION;HYDROGEL_PACK;XIREC;10019.0;3
3200;;SUBMISSION;HYDROGEL_PACK;XIREC;10022.0;6
3300;;SUBMISSION;HYDROGEL_PACK;XIREC;10021.0;5
3400;;SUBMISSION;HYDROGEL_PACK;XIREC;10023.0;7
3500;;SUBMISSION;HYDROGEL_PACK;XIREC;10021.0;5
3600;;SUBMISSION;HYDROGEL_PACK;XIREC;10022.0;6
3700;;SUBMISSION;HYDROGEL_PACK;XIREC;10021.0;5
