timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-17.0;0.0;-5.0;0.0;0.0;0.0;0.0;0.0;0.0;-12.0;0.0;0.0;0.0
200;-91.0;0.0;-55.0;0.0;0.0;0.0;0.0;0.0;-12.0;-24.0;0.0;0.0;0.0
300;-261.0;0.0;-183.0;0.0;0.0;0.0;0.0;0.0;-42.0;-36.0;0.0;0.0;0.0
400;-195.5;0.0;-87.5;0.0;0.0;0.0;0.0;0.0;-36.0;-72.0;0.0;0.0;0.0
500;-107.0;0.0;-41.0;0.0;0.0;0.0;0.0;0.0;12.0;-78.0;0.0;0.0;0.0
600;9.0;0.0;107.0;0.0;0.0;-14.0;0.0;0.0;0.0;-84.0;0.0;0.0;0.0
700;-265.0;0.0;39.5;-102.0;-7.5;-63.0;-24.0;0.0;-12.0;-90.0;-6.0;0.0;0.0
800;-437.5;0.0;39.5;-102.0;-10.0;-191.0;-42.0;0.0;-24.0;-96.0;-12.0;0.0;0.0
900;-423.0;0.0;242.0;-102.0;-82.0;-297.0;-46.0;0.0;-28.0;-98.0;-12.0;0.0;0.0
1000;-915.0;0.0;27.5;-217.5;-130.0;-393.0;-58.0;0.0;-28.0;-98.0;-18.0;0.0;0.0
1100;-1390.0;0.0;-115.5;-202.5;-258.0;-571.0;-49.0;0.0;-78.0;-98.0;-18.0;0.0;0.0
1200;-1273.0;0.0;27.5;-217.5;-242.0;-569.5;-127.5;0.0;-28.0;-98.0;-18.0;0.0;0.0
1300;-1322.5;0.0;99.0;-225.0;-242.0;-653.0;-157.5;0.0;-28.0;-98.0;-18.0;0.0;0.0
1400;-1936.0;0.0;-187.0;-195.0;-322.0;-949.0;-89.0;0.0;-78.0;-98.0;-18.0;0.0;0.0
1500;-2307.5;0.0;-258.5;-187.5;-362.0;-1191.0;-64.5;0.0;-128.0;-98.0;-18.0;0.0;0.0
1600;-2515.5;0.0;-258.5;-187.5;-442.0;-1319.0;-64.5;0.0;-128.0;-98.0;-18.0;0.0;0.0
1700;-3007.0;0.0;-473.0;-165.0;-555.0;-1551.0;-19.0;0.0;-178.0;-48.0;-18.0;0.0;0.0
1800;-2920.0;0.0;-401.5;-172.5;-555.0;-1538.0;-59.0;0.0;-128.0;-48.0;-18.0;0.0;0.0
1900;-3332.5;0.0;-544.5;-157.5;-634.5;-1709.0;-43.0;0.0;-178.0;-48.0;-18.0;0.0;0.0
2000;-4116.0;0.0;-830.5;-127.5;-729.0;-2140.0;5.0;0.0;-278.0;2.0;-18.0;0.0;0.0
2100;-4624.5;0.0;-973.5;-112.5;-823.5;-2390.0;37.0;0.0;-328.0;2.0;-36.0;0.0;0.0
2200;-4176.0;0.0;-830.5;-127.5;-729.0;-2179.0;-16.0;0.0;-278.0;2.0;-18.0;0.0;0.0
2300;-4606.0;0.0;-902.0;-120.0;-792.0;-2390.0;-40.0;0.0;-328.0;2.0;-36.0;0.0;0.0
2400;-5061.5;0.0;-1116.5;-97.5;-855.0;-2601.0;-79.5;0.0;-328.0;52.0;-36.0;0.0;0.0
2500;-6015.0;0.0;-1402.5;-67.5;-981.0;-3023.0;-161.0;0.0;-428.0;102.0;-54.0;0.0;0.0
2600;-6255.0;0.0;-1402.5;-67.5;-1012.5;-3142.5;-200.0;0.0;-478.0;102.0;-54.0;0.0;0.0
2700;-5912.5;0.0;-1331.0;-75.0;-981.0;-2927.5;-218.0;0.0;-428.0;102.0;-54.0;0.0;0.0
2800;-5767.0;0.0;-1259.5;-82.5;-949.5;-2820.0;-225.5;0.0;-428.0;52.0;-54.0;0.0;0.0
2900;-4763.0;-9.0;-973.5;-112.5;-823.5;-2390.0;-92.5;0.0;-328.0;2.0;-36.0;0.0;0.0
3000;-5275.5;-28.0;-1112.5;-97.5;-886.5;-2605.0;-234.0;0.0;-328.0;52.0;-36.0;0.0;0.0
3100;-6439.5;-52.0;-1414.5;-67.5;-981.0;-3035.0;-509.5;0.0;-428.0;102.0;-54.0;0.0;0.0
3200;-6831.0;-103.0;-1490.0;-60.0;-1044.0;-3142.5;-561.5;0.0;-478.0;102.0;-54.0;0.0;0.0
3300;-7432.0;-136.0;-1565.5;-52.5;-1075.5;-3357.5;-765.0;0.0;-528.0;102.0;-54.0;0.0;0.0
3400;-8024.0;-216.0;-1716.5;-37.5;-1138.5;-3465.0;-928.0;-42.5;-528.0;102.0;-54.0;0.0;0.0
3500;-7328.5;-218.0;-1565.5;-52.5;-1075.5;-3250.0;-693.0;-44.0;-478.0;102.0;-54.0;0.0;0.0
3600;-7766.0;-290.0;-1641.0;-45.0;-1107.0;-3357.5;-773.0;-72.5;-528.0;102.0;-54.0;0.0;0.0
3700;-7549.0;-300.0;-1565.5;-52.5;-1075.5;-3250.0;-773.0;-102.5;-478.0;102.0;-54.0;0.0;0.0
3800;-7756.0;-297.0;-1565.5;-45.0;-1107.0;-3357.5;-773.0;-131.0;-528.0;102.0;-54.0;0.0;0.0
3900;-7854.5;-141.0;-1641.0;-133.0;-1171.0;-3357.5;-773.0;-152.0;-528.0;102.0;-60.0;0.0;0.0
4000;-7205.0;-235.0;-1414.5;-156.0;-1100.0;-3142.5;-613.0;-152.0;-428.0;102.0;-66.0;0.0;0.0
4100;-8161.0;-349.0;-1565.5;-270.5;-1186.5;-3357.5;-782.0;-152.0;-528.0;102.0;-72.0;0.0;0.0
4200;-8826.5;-487.0;-1716.5;-235.5;-1263.5;-3465.0;-895.0;-260.0;-528.0;102.0;-78.0;0.0;0.0
4300;-8770.5;-358.0;-1716.5;-235.5;-1263.5;-3465.0;-962.0;-260.0;-528.0;102.0;-84.0;0.0;0.0
4400;-7487.0;-444.0;-1414.5;-305.5;-1109.5;-3035.0;-723.5;-43.0;-428.0;102.0;-86.0;0.0;0.0
4500;-7282.5;-278.0;-1414.5;-305.5;-1071.0;-3035.0;-723.5;-43.0;-428.0;102.0;-86.0;0.0;0.0
4600;-6310.5;-286.0;-1112.5;-375.5;-994.0;-2712.5;-485.0;67.0;-378.0;52.0;-86.0;0.0;0.0
4700;-6458.5;-328.0;-1188.0;-358.0;-1042.0;-2712.5;-485.0;67.0;-378.0;52.0;-86.0;0.0;0.0
4800;-6291.0;-310.0;-1112.5;-375.5;-1000.5;-2712.5;-485.0;67.0;-378.0;52.0;-36.0;0.0;0.0
4900;-7924.0;-531.0;-1416.0;-288.0;-1208.0;-3142.5;-723.5;-153.0;-478.0;102.0;-86.0;0.0;0.0
5000;-8205.5;-488.0;-1493.0;-376.0;-1272.0;-3142.5;-819.0;-153.0;-478.0;102.0;-86.0;0.0;0.0
