timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-107.0;-107.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;-367.0;-367.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300;-793.0;-793.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;-1045.0;-1045.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500;-1034.0;-1034.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
600;-884.0;-884.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
700;-884.0;-884.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800;-1184.0;-1184.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
900;-1334.0;-1334.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;-1634.0;-1634.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;-1194.0;-1194.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1200;-1270.0;-1270.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1300;-1346.0;-1346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1400;-1194.0;-1194.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1500;-738.0;-738.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1600;-738.0;-738.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1700;-586.0;-586.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1800;-738.0;-738.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1900;-1346.0;-1346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000;-1042.0;-1042.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2100;-1498.0;-1498.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2200;-1194.0;-1194.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2300;-1346.0;-1346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2400;-1194.0;-1194.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2500;-1650.0;-1650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2600;-1650.0;-1650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2700;-1802.0;-1802.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2800;-1954.0;-1954.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2900;-1878.0;-1878.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3000;-1184.0;-1042.0;-46.0;0.0;0.0;-24.0;-24.0;-12.0;-16.0;-4.0;-8.0;-4.0;-4.0
3100;-1919.0;-1498.0;-61.0;-92.0;0.0;-76.0;-64.0;-40.0;-32.0;-16.0;-24.0;-8.0;-8.0
3200;-1658.0;-1042.0;2.0;-108.0;-72.0;-122.0;-108.0;-76.0;-56.0;-24.0;-28.0;-12.0;-12.0
3300;-1913.0;-1042.0;33.0;-192.0;-80.0;-176.0;-160.0;-120.0;-64.0;-48.0;-32.0;-16.0;-16.0
3400;-1453.0;-510.0;-17.0;-192.0;-80.0;-162.0;-160.0;-132.0;-72.0;-52.0;-36.0;-20.0;-20.0
3500;-1995.5;-890.0;-17.0;-192.0;-144.0;-209.0;-176.0;-144.0;-80.0;-55.5;-40.0;-24.0;-24.0
3600;-2120.0;-1042.0;-17.0;-192.0;-177.0;-210.0;-162.5;-99.5;-88.0;-32.0;-44.0;-28.0;-28.0
3700;-1775.0;-738.0;-167.0;-160.0;-154.0;-172.0;-119.5;-48.5;-64.0;-40.0;-48.0;-32.0;-32.0
3800;-2030.0;-890.0;-217.0;-160.0;-154.0;-161.0;-139.5;-60.5;-76.0;-48.0;-52.0;-36.0;-36.0
3900;-2073.0;-738.0;-217.0;-160.0;-218.0;-228.0;-159.5;-72.5;-88.0;-56.0;-56.0;-40.0;-40.0
4000;-2064.0;-586.0;-117.0;-176.0;-274.0;-234.0;-202.0;-154.0;-128.0;-57.0;-56.0;-40.0;-40.0
4100;-2026.0;-586.0;-167.0;-168.0;-274.0;-234.0;-162.0;-154.0;-88.0;-57.0;-56.0;-40.0;-40.0
4200;-2235.0;-738.0;-117.0;-176.0;-293.0;-234.0;-202.0;-154.0;-128.0;-57.0;-56.0;-40.0;-40.0
4300;-2520.0;-1042.0;-117.0;-176.0;-274.0;-234.0;-202.0;-154.0;-128.0;-57.0;-56.0;-40.0;-40.0
4400;-2986.0;-1042.0;83.0;-208.0;-388.0;-394.0;-362.0;-234.0;-208.0;-97.0;-56.0;-40.0;-40.0
4500;-2100.0;-890.0;83.0;-120.0;-222.0;-274.0;-202.0;-154.0;-88.0;-97.0;-56.0;-40.0;-40.0
4600;-2736.0;-890.0;-17.0;-192.0;-406.0;-354.0;-282.0;-234.0;-128.0;-97.0;-56.0;-40.0;-40.0
4700;-2462.0;-738.0;-67.0;-184.0;-402.0;-314.0;-242.0;-154.0;-128.0;-97.0;-56.0;-40.0;-40.0
